Date       Time        Year        Longitude Latitude  swh_20hz_ku  swh_20hz_c swh_2
2011-07-26 05:02:15.68 2011.5649 27.474522 58.726559    1.206        0.247   9999.000
2011-07-26 05:02:15.73 2011.5649 27.478376 58.724857    0.210        0.523   9999.000
2011-07-26 05:02:15.78 2011.5649 27.482229 58.723156    1.039        0.740   9999.000
2011-07-26 05:02:15.83 2011.5649 27.486082 58.721458    0.603        0.365   9999.000
2011-07-26 05:02:15.88 2011.5649 27.489937 58.719757   -0.017        0.838   9999.000
2011-07-26 05:02:15.93 2011.5649 27.493788 58.718056    0.094        1.534   9999.000
2011-07-26 05:02:15.98 2011.5649 27.497641 58.716354    0.167        1.068   9999.000
2011-07-26 05:02:16.03 2011.5649 27.501492 58.714653    0.283        1.804   9999.000
2011-07-26 05:02:16.09 2011.5649 27.505344 58.712952    0.107        0.919   9999.000
2011-07-26 05:02:16.14 2011.5649 27.509195 58.711250   -0.017        0.372   9999.000
2011-07-26 05:02:16.19 2011.5649 27.513044 58.709549   -0.017        0.043   9999.000
2011-07-26 05:02:16.24 2011.5649 27.516895 58.707848   -0.017        2.634   9999.000
2011-07-26 05:02:16.29 2011.5649 27.520744 58.706142   -0.017        0.407   9999.000
2011-07-26 05:02:16.34 2011.5649 27.524595 58.704441   -0.017        1.086   9999.000
2011-07-26 05:02:16.39 2011.5649 27.528444 58.702740   -0.017        2.714   9999.000
2011-07-26 05:02:16.44 2011.5649 27.532291 58.701038   -0.017        0.254   9999.000
2011-07-26 05:02:16.49 2011.5649 27.536140 58.699333   -0.017        0.446   9999.000
2011-07-26 05:02:16.54 2011.5649 27.539988 58.697632    0.000        0.603   9999.000
2011-07-26 05:02:16.60 2011.5649 27.543837 58.695930    0.000        0.327   9999.000
2011-07-26 05:02:16.65 2011.5649 27.547684 58.694225    0.000        1.540   9999.000
2011-07-26 05:02:16.70 2011.5649 27.551529 58.692524    0.000       -0.032   9999.000
2011-07-26 05:02:16.75 2011.5649 27.555374 58.690823    0.000       -0.032   9999.000
2011-07-26 05:02:16.80 2011.5649 27.559221 58.689117    0.024        1.706   9999.000
2011-07-26 05:02:16.85 2011.5649 27.563066 58.687412    0.000        0.130   9999.000
2011-07-26 05:02:16.90 2011.5649 27.566912 58.685711    0.000        0.056   9999.000
2011-07-26 05:02:16.95 2011.5649 27.570755 58.684006    0.000        0.005   9999.000
2011-07-26 05:02:17.00 2011.5649 27.574600 58.682304    0.039        2.194   9999.000
2011-07-26 05:02:17.05 2011.5649 27.578444 58.680599    0.000       -0.032   9999.000
2011-07-26 05:02:17.11 2011.5649 27.582289 58.678894    0.000        0.207   9999.000
2011-07-26 05:02:17.16 2011.5649 27.586130 58.677193    0.000        1.522   9999.000
2011-07-26 05:02:17.21 2011.5649 27.589973 58.675488    0.082        0.016   9999.000
2011-07-26 05:02:17.26 2011.5649 27.593817 58.673782    0.100       -0.032   9999.000
2011-07-26 05:02:17.31 2011.5649 27.597656 58.672077    0.094        0.166   9999.000
2011-07-26 05:02:17.36 2011.5649 27.601500 58.670372    0.000       -0.032   9999.000
2011-07-26 05:02:17.41 2011.5649 27.605339 58.668667    0.000        0.067   9999.000
2011-07-26 05:02:17.46 2011.5649 27.609180 58.666962    0.139        0.403   9999.000
2011-07-26 05:02:17.51 2011.5649 27.613022 58.665257    0.119        0.069   9999.000
2011-07-26 05:02:17.56 2011.5649 27.616861 58.663551    0.095        0.088   9999.000
2011-07-26 05:02:17.61 2011.5649 27.620701 58.661846    0.089        0.237   9999.000
2011-07-26 05:02:17.67 2011.5649 27.624538 58.660141    0.130        0.206   9999.000
2011-07-26 05:02:17.72 2011.5649 27.628378 58.658436    0.018        0.105   9999.000
2011-07-26 05:02:17.77 2011.5649 27.632215 58.656731    0.000        0.453   9999.000
2011-07-26 05:02:17.82 2011.5649 27.636053 58.655025    0.000       -0.027   9999.000
2011-07-26 05:02:17.87 2011.5649 27.639891 58.653320    0.071       -0.027   9999.000
2011-07-26 05:02:17.92 2011.5649 27.643728 58.651611    0.000        0.385   9999.000
2011-07-26 05:02:17.97 2011.5649 27.647566 58.649906    0.000       -0.027   9999.000
2011-07-26 05:02:18.02 2011.5649 27.651402 58.648201    0.000        0.108   9999.000
2011-07-26 05:02:18.07 2011.5649 27.655237 58.646492    0.161        0.179   9999.000
2011-07-26 05:02:18.12 2011.5649 27.659073 58.644787    0.080        0.143   9999.000
2011-07-26 05:02:18.18 2011.5649 27.662909 58.643082    0.000        0.145   9999.000
2011-07-26 05:02:18.23 2011.5649 27.666742 58.641373    0.049        0.157   9999.000
2011-07-26 05:02:18.28 2011.5649 27.670576 58.639668    0.000        0.101   9999.000
2011-07-26 05:02:18.33 2011.5649 27.674412 58.637959    0.000        0.475   9999.000
2011-07-26 05:02:18.38 2011.5649 27.678246 58.636253    0.000       -0.027   9999.000
2011-07-26 05:02:18.43 2011.5649 27.682077 58.634544    0.000        0.153   9999.000
2011-07-26 05:02:18.48 2011.5649 27.685911 58.632839    0.000       -0.027   9999.000
2011-07-26 05:02:18.53 2011.5649 27.689743 58.631130    0.049        0.218   9999.000
2011-07-26 05:02:18.58 2011.5649 27.693575 58.629421 9999.000       -0.016   9999.000
2011-07-26 05:02:18.63 2011.5649 27.697407 58.627716 9999.000        0.093   9999.000
2011-07-26 05:02:18.69 2011.5649 27.701239 58.626007 9999.000        0.120   9999.000
2011-07-26 05:02:18.74 2011.5649 27.705069 58.624298 9999.000       -0.016   9999.000
2011-07-26 05:02:18.79 2011.5649 27.708899 58.622589 9999.000        0.280   9999.000
2011-07-26 05:02:18.84 2011.5649 27.712729 58.620884 9999.000        0.008   9999.000
2011-07-26 05:02:18.89 2011.5649 27.716558 58.619175 9999.000        0.028   9999.000
2011-07-26 05:02:18.94 2011.5649 27.720388 58.617466 9999.000       -0.016   9999.000
2011-07-26 05:02:18.99 2011.5649 27.724216 58.615757 9999.000        0.072   9999.000
2011-07-26 05:02:19.04 2011.5649 27.728045 58.614048 9999.000       -0.016   9999.000
2011-07-26 05:02:19.09 2011.5649 27.731873 58.612339 9999.000       -0.016   9999.000
2011-07-26 05:02:19.14 2011.5649 27.735701 58.610630 9999.000     9999.000   9999.000
2011-07-26 05:02:19.20 2011.5649 27.739529 58.608921 9999.000     9999.000   9999.000
2011-07-26 05:02:19.25 2011.5649 27.743355 58.607212 9999.000     9999.000   9999.000
2011-07-26 05:02:19.30 2011.5649 27.747183 58.605503 9999.000     9999.000   9999.000
2011-07-26 05:02:19.35 2011.5649 27.751007 58.603790 9999.000     9999.000   9999.000
2011-07-26 05:02:19.40 2011.5649 27.754833 58.602081 9999.000     9999.000   9999.000
2011-07-26 05:02:19.45 2011.5649 27.758659 58.600372 9999.000     9999.000   9999.000
2011-07-26 05:02:19.50 2011.5649 27.762484 58.598663 9999.000     9999.000   9999.000
2011-07-26 05:02:19.55 2011.5649 27.766308 58.596954 9999.000     9999.000   9999.000
2011-07-26 05:02:19.60 2011.5649 27.770132 58.595242 9999.000     9999.000   9999.000
2011-07-26 05:02:19.65 2011.5649 27.773956 58.593533 9999.000     9999.000   9999.000
