Date       Time        Year        Longitude Latitude  swh_20hz_ku  swh_20hz_c swh_2
2011-07-06 09:05:07.12 2011.5106 27.240273 58.832699    0.066       -0.022   9999.000
2011-07-06 09:05:07.17 2011.5106 27.244152 58.831005    0.000       -0.022   9999.000
2011-07-06 09:05:07.22 2011.5106 27.248030 58.829315    0.000       -0.018   9999.000
2011-07-06 09:05:07.27 2011.5106 27.251907 58.827621    0.044       -0.018   9999.000
2011-07-06 09:05:07.32 2011.5106 27.255785 58.825928    0.065        0.206   9999.000
2011-07-06 09:05:07.37 2011.5106 27.259663 58.824234    0.056        0.119   9999.000
2011-07-06 09:05:07.42 2011.5106 27.263540 58.822540    0.133        0.039   9999.000
2011-07-06 09:05:07.47 2011.5106 27.267416 58.820850    0.000        0.112   9999.000
2011-07-06 09:05:07.52 2011.5106 27.271292 58.819157    0.000        0.038   9999.000
2011-07-06 09:05:07.58 2011.5106 27.275167 58.817459    0.000       -0.018   9999.000
2011-07-06 09:05:07.63 2011.5106 27.279043 58.815765    0.073        0.245   9999.000
2011-07-06 09:05:07.68 2011.5106 27.282917 58.814075    0.000       -0.018   9999.000
2011-07-06 09:05:07.73 2011.5106 27.286793 58.812378    0.000       -0.018   9999.000
2011-07-06 09:05:07.78 2011.5106 27.290667 58.810684    0.085       -0.018   9999.000
2011-07-06 09:05:07.83 2011.5106 27.294540 58.808990    0.000        0.101   9999.000
2011-07-06 09:05:07.88 2011.5106 27.298414 58.807297    0.070       -0.002   9999.000
2011-07-06 09:05:07.93 2011.5106 27.302286 58.805603    0.000       -0.018   9999.000
2011-07-06 09:05:07.98 2011.5106 27.306158 58.803905    0.000       -0.018   9999.000
2011-07-06 09:05:08.03 2011.5106 27.310030 58.802212    0.158        0.288   9999.000
2011-07-06 09:05:08.09 2011.5106 27.313904 58.800518    0.098        0.132   9999.000
2011-07-06 09:05:08.14 2011.5106 27.317774 58.798820    0.000        0.225   9999.000
2011-07-06 09:05:08.19 2011.5106 27.321646 58.797127    0.072        0.144   9999.000
2011-07-06 09:05:08.24 2011.5106 27.325516 58.795429 9999.000     9999.000   9999.000
