azimuth_deg,distance_m,intersect_lon,intersect_lat,reason
0.0,47913.649,27.484154,59.008167,ok
10.0,48515.889,27.632984,59.006668,ok
20.0,40695.914,27.729536,58.920393,ok
30.0,34713.932,27.789153,58.846247,ok
40.0,26567.613,27.782991,58.758731,ok
50.0,21960.895,27.777260,58.702603,ok
60.0,18271.028,27.758699,58.657977,ok
70.0,18778.035,27.789244,58.633429,ok
80.0,18822.041,27.803644,58.605056,ok
90.0,19998.687,27.827866,58.575559,ok
100.0,21293.239,27.843503,58.542227,ok
110.0,22606.143,27.847015,58.505937,ok
120.0,22137.501,27.810486,58.476224,ok
130.0,20829.689,27.754730,58.455845,ok
140.0,21123.153,27.713476,58.431208,ok
150.0,22601.803,27.674303,58.401222,ok
160.0,26757.537,27.637660,58.351672,ok
170.0,30252.406,27.572096,58.310371,ok
180.0,43469.080,27.484154,58.187768,ok
190.0,23265.705,27.416521,58.372182,ok
200.0,21568.824,27.360407,58.395555,ok
210.0,21819.864,27.300580,58.407336,ok
220.0,22297.999,27.242088,58.423049,ok
230.0,18131.015,27.248603,58.471662,ok
240.0,16353.978,27.243011,58.502800,ok
250.0,15394.370,27.236982,58.528922,ok
260.0,15434.047,27.223651,58.552075,ok
270.0,15741.145,27.213613,58.576085,ok
280.0,16030.648,27.212061,58.601047,ok
290.0,18581.291,27.182263,58.632848,ok
300.0,21003.457,27.168510,58.669945,ok
310.0,28947.927,27.097663,58.742293,ok
320.0,45557.583,26.971312,58.888137,ok
330.0,47454.317,27.067065,58.944819,ok
340.0,47936.825,27.195082,58.981350,ok
350.0,47803.489,27.337510,59.000373,ok
