azimuth_deg,distance_m,intersect_lon,intersect_lat,reason
0.0,34988.147,27.714191,58.994629,ok
10.0,21189.602,27.779506,58.867709,ok
20.0,11184.479,27.781919,58.774558,ok
30.0,7378.320,27.779255,58.737464,ok
40.0,5711.873,27.778649,58.719312,ok
50.0,4849.678,27.779111,58.707981,ok
60.0,4156.116,27.776820,58.698669,ok
70.0,3600.971,27.772856,58.691117,ok
80.0,3159.882,27.767977,58.685039,ok
90.0,2862.635,27.763535,58.680152,ok
100.0,2853.521,27.762500,58.675706,ok
110.0,2931.086,27.761395,58.671151,ok
120.0,3097.476,27.759998,58.666248,ok
130.0,3428.269,27.758851,58.660381,ok
140.0,7162.703,27.792131,58.630679,ok
150.0,13726.448,27.829868,58.573080,ok
160.0,21776.747,27.839286,58.496261,ok
170.0,24201.891,27.784622,58.466392,ok
180.0,27745.151,27.714191,58.431444,ok
190.0,42048.484,27.591830,58.308505,ok
200.0,47852.866,27.439396,58.275746,ok
210.0,38195.200,27.392515,58.381730,ok
220.0,41183.966,27.266652,58.394275,ok
230.0,35842.826,27.247984,58.470183,ok
240.0,32424.536,27.235354,58.531232,ok
250.0,31180.832,27.212595,58.580861,ok
260.0,31161.724,27.186980,58.627876,ok
270.0,31778.301,27.166444,58.676326,ok
280.0,35602.386,27.107794,58.731355,ok
290.0,46953.552,26.947999,58.818789,ok
300.0,48758.925,26.977861,58.893782,ok
310.0,47147.840,27.081737,58.947949,ok
320.0,44716.250,27.208753,58.984627,ok
330.0,41532.735,27.347585,59.001323,ok
340.0,38934.696,27.478326,59.007983,ok
350.0,37097.844,27.599834,59.008252,ok
