azimuth_deg,distance_m,intersect_lon,intersect_lat,reason
0.0,51440.999,27.407787,59.005563,ok
10.0,52664.144,27.569118,59.009061,ok
20.0,53037.692,27.727205,58.990053,ok
30.0,42221.866,27.778347,58.870094,ok
40.0,33416.944,27.783308,58.771155,ok
50.0,27723.780,27.777480,58.701111,ok
60.0,24244.597,27.771793,58.649918,ok
70.0,24135.775,27.799591,58.615024,ok
80.0,24610.172,27.825152,58.579146,ok
90.0,25354.293,27.843117,58.540674,ok
100.0,25826.222,27.843183,58.500386,ok
110.0,23789.987,27.789292,58.467936,ok
120.0,21896.452,27.730299,58.443097,ok
130.0,22158.623,27.695383,58.413819,ok
140.0,25346.203,27.682714,58.367641,ok
150.0,25610.864,27.623092,58.343446,ok
160.0,27429.869,27.565053,58.311724,ok
170.0,35359.572,27.510514,58.230920,ok
180.0,18755.594,27.407787,58.375374,ok
190.0,16718.589,27.359213,58.395835,ok
200.0,16507.470,27.313130,58.404099,ok
210.0,17722.183,27.258770,58.405118,ok
220.0,15119.787,27.243719,58.438657,ok
230.0,12264.423,27.248533,58.471805,ok
240.0,10990.068,27.245830,58.493209,ok
250.0,10220.276,27.243803,58.511167,ok
260.0,10100.564,27.237443,58.526789,ok
270.0,10498.245,27.227529,58.542481,ok
280.0,11057.584,27.220312,58.559654,ok
290.0,11998.330,27.213103,58.579169,ok
300.0,13042.014,27.212080,58.600835,ok
310.0,17814.106,27.170353,58.644817,ok
320.0,23228.984,27.146863,58.701761,ok
330.0,46584.120,26.998891,58.903855,ok
340.0,49527.985,27.109521,58.960499,ok
350.0,50672.015,27.252560,58.991457,ok
