azimuth_deg,distance_m,intersect_lon,intersect_lat,reason
0.0,57554.304,27.255529,58.991757,ok
10.0,60143.459,27.439325,59.006479,ok
20.0,63151.660,27.634998,59.006582,ok
30.0,55655.755,27.743034,58.905459,ok
40.0,46584.476,27.778120,58.792313,ok
50.0,39100.567,27.776082,58.697191,ok
60.0,35731.393,27.791160,58.631688,ok
70.0,35153.960,27.825264,58.578988,ok
80.0,35303.453,27.853177,58.525922,ok
90.0,31624.319,27.797452,58.471291,ok
100.0,27747.716,27.722409,58.428532,ok
110.0,25742.730,27.667554,58.393083,ok
120.0,26423.566,27.643940,58.353673,ok
130.0,29951.084,27.643452,58.299549,ok
140.0,14757.790,27.415407,58.372500,ok
150.0,9631.517,27.336405,58.399712,ok
160.0,8064.988,27.301710,58.406830,ok
170.0,9661.566,27.283559,58.389582,ok
180.0,7506.027,27.255529,58.407679,ok
190.0,2283.933,27.248903,58.454858,ok
200.0,1207.123,27.248616,58.464853,ok
210.0,821.128,27.248632,58.468641,ok
220.0,694.491,27.248001,58.470238,ok
230.0,542.411,27.248494,58.471884,ok
240.0,501.993,27.248141,58.472758,ok
250.0,470.990,27.247983,58.473566,ok
260.0,469.312,27.247627,58.474279,ok
270.0,464.294,27.247572,58.475012,ok
280.0,473.615,27.247517,58.475749,ok
290.0,498.691,27.247457,58.476539,ok
300.0,543.926,27.247389,58.477447,ok
310.0,645.701,27.246949,58.478728,ok
320.0,815.019,27.246403,58.480607,ok
330.0,981.486,27.246945,58.482645,ok
340.0,1410.520,27.247061,58.486928,ok
350.0,3937.026,27.243500,58.509847,ok
