azimuth_deg,distance_m,intersect_lon,intersect_lat,reason
0.0,44190.130,27.560675,59.008956,ok
10.0,43706.907,27.694954,58.998383,ok
20.0,32707.357,27.758155,58.887353,ok
30.0,25717.317,27.786886,58.810871,ok
40.0,19543.633,27.780728,58.745103,ok
50.0,16305.173,27.778501,58.704678,ok
60.0,13339.638,27.761301,58.670572,ok
70.0,12945.109,27.771176,58.650398,ok
80.0,13565.868,27.791156,58.631691,ok
90.0,14023.619,27.801932,58.610481,ok
100.0,15202.478,27.817508,58.586645,ok
110.0,17385.051,27.840030,58.556752,ok
120.0,19847.839,27.853522,58.520917,ok
130.0,20770.651,27.830682,58.490369,ok
140.0,20855.030,27.787236,58.467257,ok
150.0,21046.669,27.737850,58.447578,ok
160.0,23461.869,27.695349,58.413750,ok
170.0,29168.799,27.645507,58.354172,ok
180.0,33699.834,27.560675,58.309696,ok
190.0,39230.896,27.446582,58.265157,ok
200.0,27721.223,27.401560,58.377728,ok
210.0,27084.719,27.332707,58.400370,ok
220.0,28744.264,27.248505,58.412470,ok
230.0,24001.543,27.248717,58.471432,ok
240.0,21461.310,27.244046,58.513500,ok
250.0,20778.010,27.226845,58.545930,ok
260.0,20560.933,27.213359,58.577626,ok
270.0,20731.250,27.204027,58.609636,ok
280.0,22951.635,27.170659,58.645150,ok
290.0,24382.810,27.164013,58.684138,ok
300.0,32076.457,27.077818,58.752620,ok
310.0,45057.604,26.957890,58.868031,ok
320.0,47000.087,27.030871,58.932113,ok
330.0,46681.620,27.149815,58.973002,ok
340.0,45626.536,27.285141,58.996089,ok
350.0,44576.112,27.423725,59.006063,ok
