Date       Time        Year        Longitude Latitude  swh_20hz_ku  swh_20hz_c swh_2
2011-09-03 20:56:23.16 2011.6736 27.240444 58.823391    0.000        0.144   9999.000
2011-09-03 20:56:23.21 2011.6736 27.244322 58.821697    0.040       -0.015   9999.000
2011-09-03 20:56:23.26 2011.6736 27.248199 58.820004    0.000        0.094   9999.000
2011-09-03 20:56:23.31 2011.6736 27.252075 58.818310    0.000       -0.015   9999.000
2011-09-03 20:56:23.36 2011.6736 27.255951 58.816616    0.095        0.059   9999.000
2011-09-03 20:56:23.41 2011.6736 27.259827 58.814922    0.237        0.016   9999.000
2011-09-03 20:56:23.46 2011.6736 27.263702 58.813229    0.000       -0.015   9999.000
2011-09-03 20:56:23.52 2011.6736 27.267576 58.811535    0.101        0.219   9999.000
2011-09-03 20:56:23.57 2011.6736 27.271452 58.809841    0.000       -0.015   9999.000
2011-09-03 20:56:23.62 2011.6736 27.275326 58.808147    0.110        0.044   9999.000
2011-09-03 20:56:23.67 2011.6736 27.279200 58.806454    0.000        0.061   9999.000
2011-09-03 20:56:23.72 2011.6736 27.283073 58.804760    0.000       -0.015   9999.000
2011-09-03 20:56:23.77 2011.6736 27.286945 58.803066    0.000       -0.015   9999.000
2011-09-03 20:56:23.82 2011.6736 27.290817 58.801369    0.093       -0.015   9999.000
2011-09-03 20:56:23.87 2011.6736 27.294689 58.799675    0.056       -0.017   9999.000
2011-09-03 20:56:23.92 2011.6736 27.298561 58.797981    0.038       -0.017   9999.000
2011-09-03 20:56:23.97 2011.6736 27.302433 58.796288    0.061       -0.017   9999.000
2011-09-03 20:56:24.03 2011.6736 27.306303 58.794590    0.062       -0.017   9999.000
2011-09-03 20:56:24.08 2011.6736 27.310173 58.792896    0.033        0.181   9999.000
2011-09-03 20:56:24.13 2011.6736 27.314043 58.791199    0.000       -0.017   9999.000
2011-09-03 20:56:24.18 2011.6736 27.317913 58.789505    0.034        0.100   9999.000
2011-09-03 20:56:24.23 2011.6736 27.321783 58.787807    0.109        0.101   9999.000
2011-09-03 20:56:24.28 2011.6736 27.325651 58.786114    0.026        0.105   9999.000
2011-09-03 20:56:24.33 2011.6736 27.329519 58.784416    0.000       -0.017   9999.000
2011-09-03 20:56:24.38 2011.6736 27.333387 58.782719    0.081        0.117   9999.000
2011-09-03 20:56:24.43 2011.6736 27.337255 58.781025    0.000        0.023   9999.000
2011-09-03 20:56:24.48 2011.6736 27.341124 58.779327    0.051        0.015   9999.000
2011-09-03 20:56:24.54 2011.6736 27.344990 58.777630    0.000        0.096   9999.000
2011-09-03 20:56:24.59 2011.6736 27.348858 58.775936    0.000        0.009   9999.000
2011-09-03 20:56:24.64 2011.6736 27.352722 58.774239    0.000       -0.017   9999.000
2011-09-03 20:56:24.69 2011.6736 27.356588 58.772541    0.050        0.364   9999.000
2011-09-03 20:56:24.74 2011.6736 27.360455 58.770844    0.049       -0.017   9999.000
2011-09-03 20:56:24.79 2011.6736 27.364319 58.769146    0.036       -0.017   9999.000
2011-09-03 20:56:24.84 2011.6736 27.368183 58.767448    0.000        0.100   9999.000
2011-09-03 20:56:24.89 2011.6736 27.372047 58.765751    0.000        0.048   9999.000
2011-09-03 20:56:24.94 2011.6736 27.375912 58.764053    0.000        0.023   9999.000
2011-09-03 20:56:24.99 2011.6736 27.379774 58.762356    0.059        0.019   9999.000
2011-09-03 20:56:25.05 2011.6736 27.383636 58.760658    0.000        0.177   9999.000
2011-09-03 20:56:25.10 2011.6736 27.387501 58.758961    0.000       -0.016   9999.000
2011-09-03 20:56:25.15 2011.6736 27.391361 58.757263    0.000        0.097   9999.000
2011-09-03 20:56:25.20 2011.6736 27.395224 58.755566    0.000        0.048   9999.000
2011-09-03 20:56:25.25 2011.6736 27.399084 58.753864    0.247        0.049   9999.000
2011-09-03 20:56:25.30 2011.6736 27.402946 58.752167    0.000       -0.016   9999.000
2011-09-03 20:56:25.35 2011.6736 27.406805 58.750469    0.051       -0.016   9999.000
2011-09-03 20:56:25.40 2011.6736 27.410667 58.748772    0.068        0.068   9999.000
2011-09-03 20:56:25.45 2011.6736 27.414526 58.747070    0.037        0.095   9999.000
2011-09-03 20:56:25.50 2011.6736 27.418386 58.745373    0.000        0.131   9999.000
2011-09-03 20:56:25.55 2011.6736 27.422245 58.743671    0.000       -0.016   9999.000
2011-09-03 20:56:25.61 2011.6736 27.426104 58.741974    0.000       -0.016   9999.000
2011-09-03 20:56:25.66 2011.6736 27.429960 58.740276    0.056        0.048   9999.000
2011-09-03 20:56:25.71 2011.6736 27.433819 58.738575    0.046        0.123   9999.000
2011-09-03 20:56:25.76 2011.6736 27.437675 58.736877    0.012       -0.016   9999.000
2011-09-03 20:56:25.81 2011.6736 27.441532 58.735176    0.000        0.067   9999.000
2011-09-03 20:56:25.86 2011.6736 27.445391 58.733475    0.000        0.036   9999.000
2011-09-03 20:56:25.91 2011.6736 27.449245 58.731777    0.000        0.000   9999.000
2011-09-03 20:56:25.96 2011.6736 27.453102 58.730076    0.000        0.109   9999.000
2011-09-03 20:56:26.01 2011.6736 27.456957 58.728374    0.000        0.000   9999.000
2011-09-03 20:56:26.06 2011.6736 27.460812 58.726677    0.133        0.000   9999.000
2011-09-03 20:56:26.12 2011.6736 27.464666 58.724976    0.112        0.000   9999.000
